,Prob_Up
2016-09-19 00:00:00+00:00,0.6666666666666666
2016-09-20 00:00:00+00:00,0.6666666666666666
2016-09-21 00:00:00+00:00,0.6666666666666666
2016-09-22 00:00:00+00:00,0.6666666666666666
2016-09-23 00:00:00+00:00,0.6666666666666666
2016-09-26 00:00:00+00:00,0.6666666666666666
2016-09-27 00:00:00+00:00,0.6666666666666666
2016-09-28 00:00:00+00:00,0.6666666666666666
2016-09-29 00:00:00+00:00,0.6666666666666666
2016-09-30 00:00:00+00:00,0.6666666666666666
2016-10-03 00:00:00+00:00,0.6666666666666666
2016-10-04 00:00:00+00:00,0.6666666666666666
2016-10-05 00:00:00+00:00,0.6666666666666666
2016-10-06 00:00:00+00:00,0.6666666666666666
2016-10-07 00:00:00+00:00,0.6666666666666666
2016-10-10 00:00:00+00:00,0.6666666666666666
2016-10-11 00:00:00+00:00,0.6666666666666666
2016-10-12 00:00:00+00:00,0.6666666666666666
2016-10-13 00:00:00+00:00,0.6666666666666666
2016-10-14 00:00:00+00:00,0.6666666666666666
2016-10-17 00:00:00+00:00,0.6666666666666666
2016-10-18 00:00:00+00:00,0.6666666666666666
2016-10-19 00:00:00+00:00,0.6666666666666666
2016-10-20 00:00:00+00:00,0.6666666666666666
2016-10-21 00:00:00+00:00,0.6666666666666666
2016-10-24 00:00:00+00:00,0.6666666666666666
2016-10-25 00:00:00+00:00,0.6666666666666666
2016-10-26 00:00:00+00:00,0.6666666666666666
2016-10-27 00:00:00+00:00,0.6666666666666666
2016-10-28 00:00:00+00:00,0.6666666666666666
2016-10-31 00:00:00+00:00,0.6666666666666666
2016-11-01 00:00:00+00:00,0.6666666666666666
2016-11-02 00:00:00+00:00,0.6666666666666666
2016-11-03 00:00:00+00:00,0.6666666666666666
2016-11-04 00:00:00+00:00,0.6666666666666666
2016-11-07 00:00:00+00:00,0.6666666666666666
2016-11-08 00:00:00+00:00,0.6666666666666666
2016-11-09 00:00:00+00:00,0.6666666666666666
2016-11-10 00:00:00+00:00,0.6666666666666666
2016-11-11 00:00:00+00:00,0.6666666666666666
2016-11-14 00:00:00+00:00,0.6666666666666666
2016-11-15 00:00:00+00:00,0.6666666666666666
2016-11-16 00:00:00+00:00,0.6666666666666666
2016-11-17 00:00:00+00:00,0.6666666666666666
2016-11-18 00:00:00+00:00,0.6666666666666666
2016-11-21 00:00:00+00:00,0.6666666666666666
2016-11-22 00:00:00+00:00,0.6666666666666666
2016-11-23 00:00:00+00:00,0.6666666666666666
2016-11-25 00:00:00+00:00,0.6666666666666666
2016-11-28 00:00:00+00:00,0.6666666666666666
2016-11-29 00:00:00+00:00,0.6666666666666666
2016-11-30 00:00:00+00:00,0.6666666666666666
2016-12-01 00:00:00+00:00,0.6666666666666666
2016-12-02 00:00:00+00:00,0.6666666666666666
2016-12-05 00:00:00+00:00,0.6666666666666666
2016-12-06 00:00:00+00:00,0.6666666666666666
2016-12-07 00:00:00+00:00,0.6666666666666666
2016-12-08 00:00:00+00:00,0.6666666666666666
2016-12-09 00:00:00+00:00,0.6666666666666666
2016-12-12 00:00:00+00:00,0.6666666666666666
2016-12-13 00:00:00+00:00,0.6666666666666666
2016-12-14 00:00:00+00:00,0.6666666666666666
2016-12-15 00:00:00+00:00,0.6666666666666666
2016-12-16 00:00:00+00:00,0.6666666666666666
2016-12-19 00:00:00+00:00,0.6666666666666666
2016-12-20 00:00:00+00:00,0.5192307692307692
2016-12-21 00:00:00+00:00,0.6666666666666666
2016-12-22 00:00:00+00:00,0.5192307692307692
2016-12-23 00:00:00+00:00,0.5192307692307692
2016-12-27 00:00:00+00:00,0.6666666666666666
2016-12-28 00:00:00+00:00,0.6666666666666666
2016-12-29 00:00:00+00:00,0.6666666666666666
2016-12-30 00:00:00+00:00,0.6666666666666666
2017-01-03 00:00:00+00:00,0.6666666666666666
2017-01-04 00:00:00+00:00,0.6666666666666666
2017-01-05 00:00:00+00:00,0.6666666666666666
2017-01-06 00:00:00+00:00,0.6666666666666666
2017-01-09 00:00:00+00:00,0.6666666666666666
2017-01-10 00:00:00+00:00,0.6666666666666666
2017-01-11 00:00:00+00:00,0.6666666666666666
2017-01-12 00:00:00+00:00,0.6666666666666666
2017-01-13 00:00:00+00:00,0.6666666666666666
2017-01-17 00:00:00+00:00,0.6666666666666666
2017-01-18 00:00:00+00:00,0.6666666666666666
2017-01-19 00:00:00+00:00,0.6666666666666666
2017-01-20 00:00:00+00:00,0.6666666666666666
2017-01-23 00:00:00+00:00,0.6666666666666666
2017-01-24 00:00:00+00:00,0.6666666666666666
2017-01-25 00:00:00+00:00,0.6666666666666666
2017-01-26 00:00:00+00:00,0.6666666666666666
2017-01-27 00:00:00+00:00,0.6666666666666666
2017-01-30 00:00:00+00:00,0.6666666666666666
2017-01-31 00:00:00+00:00,0.6666666666666666
2017-02-01 00:00:00+00:00,0.5192307692307692
2017-02-02 00:00:00+00:00,0.6666666666666666
2017-02-03 00:00:00+00:00,0.6666666666666666
2017-02-06 00:00:00+00:00,0.6666666666666666
2017-02-07 00:00:00+00:00,0.6666666666666666
2017-02-08 00:00:00+00:00,0.6666666666666666
2017-02-09 00:00:00+00:00,0.6666666666666666
2017-02-10 00:00:00+00:00,0.6666666666666666
2017-02-13 00:00:00+00:00,0.6666666666666666
2017-02-14 00:00:00+00:00,0.6666666666666666
2017-02-15 00:00:00+00:00,0.6666666666666666
2017-02-16 00:00:00+00:00,0.6666666666666666
2017-02-17 00:00:00+00:00,0.6666666666666666
2017-02-21 00:00:00+00:00,0.6666666666666666
2017-02-22 00:00:00+00:00,0.6666666666666666
2017-02-23 00:00:00+00:00,0.6666666666666666
2017-02-24 00:00:00+00:00,0.6666666666666666
2017-02-27 00:00:00+00:00,0.5192307692307692
2017-02-28 00:00:00+00:00,0.6666666666666666
2017-03-01 00:00:00+00:00,0.6666666666666666
2017-03-02 00:00:00+00:00,0.6666666666666666
2017-03-03 00:00:00+00:00,0.6666666666666666
2017-03-06 00:00:00+00:00,0.6666666666666666
2017-03-07 00:00:00+00:00,0.6666666666666666
2017-03-08 00:00:00+00:00,0.6666666666666666
2017-03-09 00:00:00+00:00,0.6666666666666666
2017-03-10 00:00:00+00:00,0.6666666666666666
2017-03-13 00:00:00+00:00,0.6666666666666666
2017-03-14 00:00:00+00:00,0.6666666666666666
