,Prob_Up
2023-05-04 00:00:00+00:00,0.43023255813953487
2023-05-05 00:00:00+00:00,0.43023255813953487
2023-05-08 00:00:00+00:00,0.6206896551724138
2023-05-09 00:00:00+00:00,0.6206896551724138
2023-05-10 00:00:00+00:00,0.43023255813953487
2023-05-11 00:00:00+00:00,0.6206896551724138
2023-05-12 00:00:00+00:00,0.43023255813953487
2023-05-15 00:00:00+00:00,0.43023255813953487
2023-05-16 00:00:00+00:00,0.43023255813953487
2023-05-17 00:00:00+00:00,0.43023255813953487
2023-05-18 00:00:00+00:00,0.43023255813953487
2023-05-19 00:00:00+00:00,0.43023255813953487
2023-05-22 00:00:00+00:00,0.43023255813953487
2023-05-23 00:00:00+00:00,0.43023255813953487
2023-05-24 00:00:00+00:00,0.43023255813953487
2023-05-25 00:00:00+00:00,0.43023255813953487
2023-05-26 00:00:00+00:00,0.43023255813953487
2023-05-30 00:00:00+00:00,0.43023255813953487
2023-05-31 00:00:00+00:00,0.43023255813953487
2023-06-01 00:00:00+00:00,0.43023255813953487
2023-06-02 00:00:00+00:00,0.43023255813953487
2023-06-05 00:00:00+00:00,0.43023255813953487
2023-06-06 00:00:00+00:00,0.43023255813953487
2023-06-07 00:00:00+00:00,0.43023255813953487
2023-06-08 00:00:00+00:00,0.43023255813953487
2023-06-09 00:00:00+00:00,0.43023255813953487
2023-06-12 00:00:00+00:00,0.43023255813953487
2023-06-13 00:00:00+00:00,0.43023255813953487
2023-06-14 00:00:00+00:00,0.43023255813953487
2023-06-15 00:00:00+00:00,0.43023255813953487
2023-06-16 00:00:00+00:00,0.43023255813953487
2023-06-20 00:00:00+00:00,0.43023255813953487
2023-06-21 00:00:00+00:00,0.43023255813953487
2023-06-22 00:00:00+00:00,0.43023255813953487
2023-06-23 00:00:00+00:00,0.43023255813953487
2023-06-26 00:00:00+00:00,0.43023255813953487
2023-06-27 00:00:00+00:00,0.43023255813953487
2023-06-28 00:00:00+00:00,0.43023255813953487
2023-06-29 00:00:00+00:00,0.43023255813953487
2023-06-30 00:00:00+00:00,0.43023255813953487
2023-07-03 00:00:00+00:00,0.43023255813953487
2023-07-05 00:00:00+00:00,0.43023255813953487
2023-07-06 00:00:00+00:00,0.43023255813953487
2023-07-07 00:00:00+00:00,0.43023255813953487
2023-07-10 00:00:00+00:00,0.43023255813953487
2023-07-11 00:00:00+00:00,0.43023255813953487
2023-07-12 00:00:00+00:00,0.43023255813953487
2023-07-13 00:00:00+00:00,0.43023255813953487
2023-07-14 00:00:00+00:00,0.43023255813953487
2023-07-17 00:00:00+00:00,0.43023255813953487
2023-07-18 00:00:00+00:00,0.43023255813953487
2023-07-19 00:00:00+00:00,0.43023255813953487
2023-07-20 00:00:00+00:00,0.43023255813953487
2023-07-21 00:00:00+00:00,0.43023255813953487
2023-07-24 00:00:00+00:00,0.43023255813953487
2023-07-25 00:00:00+00:00,0.43023255813953487
2023-07-26 00:00:00+00:00,0.43023255813953487
2023-07-27 00:00:00+00:00,0.43023255813953487
2023-07-28 00:00:00+00:00,0.43023255813953487
2023-07-31 00:00:00+00:00,0.43023255813953487
2023-08-01 00:00:00+00:00,0.43023255813953487
2023-08-02 00:00:00+00:00,0.43023255813953487
2023-08-03 00:00:00+00:00,0.43023255813953487
2023-08-04 00:00:00+00:00,0.43023255813953487
2023-08-07 00:00:00+00:00,0.43023255813953487
2023-08-08 00:00:00+00:00,0.43023255813953487
2023-08-09 00:00:00+00:00,0.43023255813953487
2023-08-10 00:00:00+00:00,0.43023255813953487
2023-08-11 00:00:00+00:00,0.43023255813953487
2023-08-14 00:00:00+00:00,0.43023255813953487
2023-08-15 00:00:00+00:00,0.43023255813953487
2023-08-16 00:00:00+00:00,0.43023255813953487
2023-08-17 00:00:00+00:00,0.43023255813953487
2023-08-18 00:00:00+00:00,0.43023255813953487
2023-08-21 00:00:00+00:00,0.43023255813953487
2023-08-22 00:00:00+00:00,0.43023255813953487
2023-08-23 00:00:00+00:00,0.43023255813953487
2023-08-24 00:00:00+00:00,0.43023255813953487
2023-08-25 00:00:00+00:00,0.43023255813953487
2023-08-28 00:00:00+00:00,0.43023255813953487
2023-08-29 00:00:00+00:00,0.43023255813953487
2023-08-30 00:00:00+00:00,0.43023255813953487
2023-08-31 00:00:00+00:00,0.43023255813953487
2023-09-01 00:00:00+00:00,0.43023255813953487
2023-09-05 00:00:00+00:00,0.43023255813953487
2023-09-06 00:00:00+00:00,0.43023255813953487
2023-09-07 00:00:00+00:00,0.43023255813953487
2023-09-08 00:00:00+00:00,0.43023255813953487
2023-09-11 00:00:00+00:00,0.43023255813953487
2023-09-12 00:00:00+00:00,0.43023255813953487
2023-09-13 00:00:00+00:00,0.43023255813953487
2023-09-14 00:00:00+00:00,0.43023255813953487
2023-09-15 00:00:00+00:00,0.43023255813953487
2023-09-18 00:00:00+00:00,0.43023255813953487
2023-09-19 00:00:00+00:00,0.43023255813953487
2023-09-20 00:00:00+00:00,0.43023255813953487
2023-09-21 00:00:00+00:00,0.43023255813953487
2023-09-22 00:00:00+00:00,0.43023255813953487
2023-09-25 00:00:00+00:00,0.43023255813953487
2023-09-26 00:00:00+00:00,0.43023255813953487
2023-09-27 00:00:00+00:00,0.43023255813953487
2023-09-28 00:00:00+00:00,0.43023255813953487
2023-09-29 00:00:00+00:00,0.43023255813953487
2023-10-02 00:00:00+00:00,0.43023255813953487
2023-10-03 00:00:00+00:00,0.43023255813953487
2023-10-04 00:00:00+00:00,0.43023255813953487
2023-10-05 00:00:00+00:00,0.43023255813953487
2023-10-06 00:00:00+00:00,0.43023255813953487
2023-10-09 00:00:00+00:00,0.43023255813953487
2023-10-10 00:00:00+00:00,0.43023255813953487
2023-10-11 00:00:00+00:00,0.43023255813953487
2023-10-12 00:00:00+00:00,0.43023255813953487
2023-10-13 00:00:00+00:00,0.43023255813953487
2023-10-16 00:00:00+00:00,0.43023255813953487
2023-10-17 00:00:00+00:00,0.43023255813953487
2023-10-18 00:00:00+00:00,0.43023255813953487
2023-10-19 00:00:00+00:00,0.43023255813953487
2023-10-20 00:00:00+00:00,0.43023255813953487
2023-10-23 00:00:00+00:00,0.43023255813953487
2023-10-24 00:00:00+00:00,0.43023255813953487
2023-10-25 00:00:00+00:00,0.43023255813953487
2023-10-26 00:00:00+00:00,0.43023255813953487
2023-10-27 00:00:00+00:00,0.43023255813953487
2023-10-30 00:00:00+00:00,0.43023255813953487
2023-10-31 00:00:00+00:00,0.43023255813953487
2023-11-01 00:00:00+00:00,0.43023255813953487
2023-11-02 00:00:00+00:00,0.43023255813953487
2023-11-03 00:00:00+00:00,0.43023255813953487
2023-11-06 00:00:00+00:00,0.43023255813953487
2023-11-07 00:00:00+00:00,0.43023255813953487
2023-11-08 00:00:00+00:00,0.43023255813953487
2023-11-09 00:00:00+00:00,0.43023255813953487
2023-11-10 00:00:00+00:00,0.43023255813953487
2023-11-13 00:00:00+00:00,0.43023255813953487
2023-11-14 00:00:00+00:00,0.43023255813953487
2023-11-15 00:00:00+00:00,0.43023255813953487
2023-11-16 00:00:00+00:00,0.43023255813953487
